time,exp1_s1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,5
3,4
3,3
3,1
3,1
3,1
3,1
3,1
3,2
3,4
3,3
3,0
3,1
3,7
3,3
6.5,3
6.5,6
6.5,5
6.5,2
6.5,4
6.5,6
6.5,8
6.5,0
6.5,10
6.5,4
6.5,9
6.5,5
6.5,7
6.5,5
6.5,5
10,7
10,2
10,7
10,7
10,4
10,4
10,6
10,4
10,7
10,5
10,7
10,11
10,4
10,3
10,8
10,5
10,9
10,6
10,6
10,6
10,4
10,5
10,4
10,6
10,5
10,6
10,8
10,5
10,6
10,2
10,4
10,7
10,4
10,3
10,4
10,3
10,4
10,6
10,10
10,7
10,3
10,4
10,4
10,5
10,5
10,4
10,7
10,5
10,2
10,1
10,4
10,2
10,6
10,1
10,4
