,date,plant_block,block,plot_id,plant,leaf,sca,plant_stage,honeeydew,lady_beetles,lacewings/eggs,mummies,syrphid_fly,mpb,time,parasitoid_wasp,wasp,bird_cherry_oat_aphid,spider,leafhopper,green_bug,minute_pirate_bug,flower_beetle,grasshopper,midge,bee,flea_beetle,cucumber_beetle,robber_fly,moth,damage,lacewings,aphid_mummies,other_pred,emergence,predators,blister_beetle,flour_beetle,aphid_shed,thrip,white_fly,damsel_bug,tarantula_hawk,cricket,stink_bug,long_legged_fly,scavenger_beetle,fungus_beetle,ant,bean_beetle,spittle_bug,tortoise_beetle,greenbug,thrips_greenbug,flower_beetle_greenbug,x_p,x_bcoa,
0,2016-08-25,E,1,101E,1,1,0.0,bl,n,,,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25,E,1,101E,1,2,2.0,bl,n,,,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25,E,1,101E,2,1,0.0,g,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-25,E,1,101E,2,2,0.0,g,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-25,E,1,101E,3,1,0.0,h,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-25,E,1,101E,3,2,4.0,h,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-25,E,1,101E,4,1,0.0,bl,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-25,E,1,101E,4,2,1.0,bl,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-25,E,1,101E,5,1,0.0,bl,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-25,E,1,101E,5,2,0.0,bl,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-25,E,1,101E,6,1,0.0,g,n,,1.0,,,,238,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-25,E,1,101E,6,2,0.0,g,n,1.0,1.0,,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-08-25,E,1,101E,7,1,0.0,g,n,1.0,1.0,,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016-08-25,E,1,101E,7,2,0.0,g,n,1.0,1.0,,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-25,E,1,101E,8,1,0.0,m,n,1.0,1.0,,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-25,E,1,101E,8,2,0.0,m,n,1.0,1.0,,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-25,E,1,101E,9,1,0.0,m,n,1.0,1.0,,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-25,E,1,101E,9,2,0.0,m,n,1.0,1.0,,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016-08-25,E,1,101E,10,1,1.0,bl,n,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016-08-25,E,1,101E,10,2,0.0,bl,n,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-25,E,1,102E,1,1,1500.0,m,y,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-25,E,1,102E,1,2,500.0,m,y,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-25,E,1,102E,2,1,300.0,m,y,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-25,E,1,102E,2,2,2000.0,m,y,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-25,E,1,102E,3,1,2000.0,bl,y,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-25,E,1,102E,3,2,1500.0,bl,y,1.0,1.0,1.0,,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-08-25,E,1,102E,4,1,1500.0,m,y,1.0,1.0,1.0,3.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-25,E,1,102E,4,2,2000.0,m,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-25,E,1,102E,5,1,1500.0,bl,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-25,E,1,102E,5,2,2000.0,bl,y,1.0,1.0,1.0,2.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-25,E,1,102E,6,1,300.0,m,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-25,E,1,102E,6,2,150.0,m,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-25,E,1,102E,7,1,2000.0,bl,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-25,E,1,102E,7,2,800.0,bl,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-25,E,1,102E,8,1,6000.0,bl,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-25,E,1,102E,8,2,8000.0,bl,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-25,E,1,102E,9,1,5000.0,m,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-25,E,1,102E,9,2,2000.0,m,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016-08-25,E,1,102E,10,1,1000.0,g,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-25,E,1,102E,10,2,4000.0,g,y,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2016-08-25,E,2,201E,1,1,4.0,g,n,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016-08-25,E,2,201E,1,2,2.0,g,n,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-25,E,2,201E,2,1,3.0,g,n,1.0,1.0,1.0,1.0,,238,1.0,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
