,date,initials,plant_date,block,plot_id,seed_variety,seed_trtmt,spray_trtmt,rep,plant,leaf,plant_stage,honey-dew,sca,greenbug,bird_cherry_oat,english_grain_aphid,aphid_mummies,parasitoid_wasp,lacewing_eggs,lacewing_larvae,brown_lacewing_,green_lacewing,lb_eggs,lb_larvae,ashy_gray_lb,asian_lb,convergent_lb,dusky_lb,spotted_lb,sinuate_lb,7_spotted_lb,mpb,syrphid_fly_larvae,syrphid_fly,spider,time,long_legged_fly,predatory_thrip,lacewing_eggs.1,thrip,,corn_leaf_aphid,pred_thrip,aphid,mite,assassin,cut_worm
0,2017-09-01,,E,1.0,101E,S,U,SP,1.0,1.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
1,2017-09-01,,E,1.0,101E,S,U,SP,1.0,1.0,2.0,9.0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
2,2017-09-01,,E,1.0,101E,S,U,SP,1.0,2.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
3,2017-09-01,,E,1.0,101E,S,U,SP,1.0,2.0,2.0,9.0,0,2.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
4,2017-09-01,,E,1.0,101E,S,U,SP,1.0,3.0,1.0,9.0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
5,2017-09-01,,E,1.0,101E,S,U,SP,1.0,3.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
6,2017-09-01,,E,1.0,101E,S,U,SP,1.0,4.0,1.0,9.0,0,5.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
7,2017-09-01,,E,1.0,101E,S,U,SP,1.0,4.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
8,2017-09-01,,E,1.0,101E,S,U,SP,1.0,5.0,1.0,9.0,0,15.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
9,2017-09-01,,E,1.0,101E,S,U,SP,1.0,5.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
10,2017-09-01,,E,1.0,102E,S,U,SP,2.0,1.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
11,2017-09-01,,E,1.0,102E,S,U,SP,2.0,1.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
12,2017-09-01,,E,1.0,102E,S,U,SP,2.0,2.0,1.0,9.0,0,10.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
13,2017-09-01,,E,1.0,102E,S,U,SP,2.0,2.0,2.0,9.0,0,0.0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
14,2017-09-01,,E,1.0,102E,S,U,SP,2.0,3.0,1.0,9.0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
15,2017-09-01,,E,1.0,102E,S,U,SP,2.0,3.0,2.0,9.0,0,7.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
16,2017-09-01,,E,1.0,102E,S,U,SP,2.0,4.0,1.0,9.0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
17,2017-09-01,,E,1.0,102E,S,U,SP,2.0,4.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
18,2017-09-01,,E,1.0,102E,S,U,SP,2.0,5.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
19,2017-09-01,,E,1.0,102E,S,U,SP,2.0,5.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
20,2017-09-01,,E,1.0,103E,S,U,USP,1.0,1.0,1.0,9.0,0,7.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
21,2017-09-01,,E,1.0,103E,S,U,USP,1.0,1.0,2.0,9.0,0,19.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
22,2017-09-01,,E,1.0,103E,S,U,USP,1.0,2.0,1.0,9.0,0,28.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
23,2017-09-01,,E,1.0,103E,S,U,USP,1.0,2.0,2.0,9.0,0,3.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
24,2017-09-01,,E,1.0,103E,S,U,USP,1.0,3.0,1.0,9.0,0,25.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
25,2017-09-01,,E,1.0,103E,S,U,USP,1.0,3.0,2.0,9.0,0,50.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
26,2017-09-01,,E,1.0,103E,S,U,USP,1.0,4.0,1.0,9.0,0,10.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
27,2017-09-01,,E,1.0,103E,S,U,USP,1.0,4.0,2.0,9.0,0,20.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
28,2017-09-01,,E,1.0,103E,S,U,USP,1.0,5.0,1.0,9.0,0,60.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
29,2017-09-01,,E,1.0,103E,S,U,USP,1.0,5.0,2.0,9.0,1,4000.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
30,2017-09-01,,E,1.0,104E,S,U,USP,2.0,1.0,1.0,9.0,0,15.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
31,2017-09-01,,E,1.0,104E,S,U,USP,2.0,1.0,2.0,9.0,0,2.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
32,2017-09-01,,E,1.0,104E,S,U,USP,2.0,2.0,1.0,9.0,0,40.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
33,2017-09-01,,E,1.0,104E,S,U,USP,2.0,2.0,2.0,9.0,0,50.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
34,2017-09-01,,E,1.0,104E,S,U,USP,2.0,3.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
35,2017-09-01,,E,1.0,104E,S,U,USP,2.0,3.0,2.0,9.0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
36,2017-09-01,,E,1.0,104E,S,U,USP,2.0,4.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
37,2017-09-01,,E,1.0,104E,S,U,USP,2.0,4.0,2.0,9.0,0,7.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
38,2017-09-01,,E,1.0,104E,S,U,USP,2.0,5.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
39,2017-09-01,,E,1.0,104E,S,U,USP,2.0,5.0,2.0,9.0,0,20.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
40,2017-09-01,,E,2.0,201E,R,N,SP,1.0,1.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
41,2017-09-01,,E,2.0,201E,R,N,SP,1.0,1.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
42,2017-09-01,,E,2.0,201E,R,N,SP,1.0,2.0,1.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
43,2017-09-01,,E,2.0,201E,R,N,SP,1.0,2.0,2.0,9.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
44,2017-09-01,,E,2.0,201E,R,N,SP,1.0,3.0,1.0,9.0,0,1.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,244,0,0,0.0,0,0,0,0,0,0,0,0
